"bloc","periode","type_brique","numero_cible","etat_relationnel","statut_utilisateur","ton","modele_texte","jours_refroidissement","poids","actif","tags","langue","version"
"2","toutes","posture","1","harmonieux","indifferent","direct_doux","Aujourd’hui, prends les devants avec douceur : une initiative simple renforcera la dynamique du couple.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","harmonieux","indifferent","direct_doux","Sois clair sur ton intention, sans imposer : proposer calmement suffira.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","harmonieux","indifferent","direct_doux","Avance avec confiance : ton énergie d’action peut inspirer {partner}.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","harmonieux","indifferent","direct_doux","Garde un cap précis : ta stabilité intérieure rend l’autre plus serein.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","harmonieux","indifferent","direct_doux","Ose dire ce que tu veux construire, puis écoute la réponse sans te fermer.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","harmonieux","indifferent","direct_doux","Fais un premier pas concret : l’élan du moment vous porte.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","levier","1","harmonieux","indifferent","direct_doux","Le levier du jour : décider ensemble d’un petit objectif commun et le démarrer immédiatement.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","levier","1","harmonieux","indifferent","direct_doux","Ton levier : féliciter {partner} puis proposer une action concrète à deux.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","levier","1","harmonieux","indifferent","direct_doux","Le levier : transformer une idée en plan simple (qui fait quoi, quand).","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","levier","1","harmonieux","indifferent","direct_doux","Ton levier : poser un cadre clair qui sécurise, sans rigidité.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","levier","1","harmonieux","indifferent","direct_doux","Le levier : une initiative partagée (message, sortie, projet) ravive la complicité.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","levier","1","harmonieux","indifferent","direct_doux","Ton levier : une promesse tenue aujourd’hui renforce la confiance.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","risque","1","harmonieux","indifferent","direct_doux","Risque à surveiller : vouloir aller trop vite et oublier l’avis de {partner}.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","risque","1","harmonieux","indifferent","direct_doux","Risque : transformer l’élan en ordre ; garde le respect dans la parole.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","risque","1","harmonieux","indifferent","direct_doux","Risque : trop de décisions d’un coup ; garde une priorité.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","risque","1","harmonieux","indifferent","direct_doux","Risque : impatience ; laisse le temps à l’autre de s’aligner.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","risque","1","harmonieux","indifferent","direct_doux","Risque : ton trop sec ; adoucis la forme.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","risque","1","harmonieux","indifferent","direct_doux","Risque : confusion entre leadership et contrôle ; reste coopératif.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","neutre","indifferent","direct_doux","Prends l’initiative, mais laisse de l’espace : l’équilibre se joue dans le ton.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","neutre","indifferent","direct_doux","Sois direct sans dureté : une phrase claire vaut mieux qu’un long débat.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","neutre","indifferent","direct_doux","Choisis une action utile et annonce-la simplement, sans chercher l’adhésion immédiate.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","neutre","indifferent","direct_doux","Reste moteur, mais vérifie que {partner} se sent inclus(e) dans la décision.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","neutre","indifferent","direct_doux","Avance par étapes : le couple suivra mieux un rythme régulier qu’un sprint.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","neutre","indifferent","direct_doux","Ton leadership est utile si tu l’accompagnes d’écoute.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","levier","1","neutre","indifferent","direct_doux","Le levier du jour : une décision courte prise à deux évite de longues hésitations.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","levier","1","neutre","indifferent","direct_doux","Ton levier : proposer deux options, laisser {partner} choisir la troisième (la sienne).","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","levier","1","neutre","indifferent","direct_doux","Le levier : clarifier les attentes avant d’agir, même en 2 phrases.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","levier","1","neutre","indifferent","direct_doux","Ton levier : faire simple — une action concrète, pas une discussion infinie.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","levier","1","neutre","indifferent","direct_doux","Le levier : répartir clairement les rôles pour éviter la confusion.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","levier","1","neutre","indifferent","direct_doux","Ton levier : commencer petit pour créer un élan positif.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","risque","1","neutre","indifferent","direct_doux","Risque : prendre la main sans consulter ; cela peut refroidir {partner}.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","risque","1","neutre","indifferent","direct_doux","Risque : vouloir convaincre ; mieux vaut proposer et écouter.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","risque","1","neutre","indifferent","direct_doux","Risque : agir sous tension ; respire avant de trancher.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","risque","1","neutre","indifferent","direct_doux","Risque : multiplier les projets ; tu perdras en efficacité.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","risque","1","neutre","indifferent","direct_doux","Risque : réponses rapides ; choisis des mots calmes.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","risque","1","neutre","indifferent","direct_doux","Risque : t’entêter ; ajuste si tu sens une résistance.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","tendu","indifferent","direct_doux","Adopte une posture posée : agir oui, mais sans brusquer {partner}.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","tendu","indifferent","direct_doux","Reste ferme sur l’essentiel et doux sur la forme : c’est ce qui apaise le mieux.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","tendu","indifferent","direct_doux","Prends une initiative de paix avant une initiative de projet.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"2","toutes","posture","1","tendu","indifferent","direct_doux","Évite l’autorité : propose, puis laisse l’autre respirer.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
