"bloc","periode","type_brique","numero_cible","etat_relationnel","statut_utilisateur","ton","modele_texte","jours_refroidissement","poids","actif","tags","langue","version"
"3","toutes","acte","1","indifferent","indifferent","direct_doux","Prends l’initiative sur un point précis : propose à {partner} un petit pas concret, puis fais-le.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","acte","1","indifferent","indifferent","direct_doux","Clarifie une décision et annonce-la avec douceur : « voilà ce que je propose ».","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","acte","1","indifferent","indifferent","direct_doux","Commence ce que tu repousses : 15 minutes d’action valent mieux qu’une heure d’hésitation.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","acte","1","indifferent","indifferent","direct_doux","Envoie à {partner} un message de direction : « j’ai envie qu’on avance ensemble ».","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","acte","1","indifferent","indifferent","direct_doux","Fixe une priorité et tiens-la : une seule victoire solide suffit.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","acte","1","indifferent","indifferent","direct_doux","Ose dire ton intention, puis demande l’avis de {partner} : leadership + écoute.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","acte","1","indifferent","indifferent","direct_doux","Relance un projet ou une discussion avec un ton neuf : simple, clair, respectueux.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","acte","1","indifferent","indifferent","direct_doux","Pose une limite saine sur un sujet important, sans colère : cadre clair, cœur doux.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","acte","1","indifferent","indifferent","direct_doux","Fais un premier pas vers une solution : appel, rendez-vous, démarche, message.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","acte","1","indifferent","indifferent","direct_doux","Découpe un objectif en 3 étapes et commence la première immédiatement.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","acte","1","indifferent","indifferent","direct_doux","Choisis une direction commune et propose un calendrier léger (date, heure, action).","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","acte","1","indifferent","indifferent","direct_doux","Fais un geste d’ouverture : propose au lieu de critiquer, même si tu es pressé(e).","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","acte","1","indifferent","indifferent","direct_doux","Prends les devants sur l’organisation du couple : qui fait quoi, en toute simplicité.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","acte","1","indifferent","indifferent","direct_doux","Affirme-toi avec respect : une phrase courte, puis tu laisses {partner} répondre.","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","rituel","1","indifferent","indifferent","direct_doux","60 secondes de respiration (4-6). Puis dis : « Je choisis le courage calme. »","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","rituel","1","indifferent","indifferent","direct_doux","Bois un verre d’eau lentement et pose une intention : « Je démarre avec clarté. »","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","rituel","1","indifferent","indifferent","direct_doux","Mains sur le cœur 30 secondes : « Je prends la bonne décision, sans dureté. »","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","rituel","1","indifferent","indifferent","direct_doux","Écris une phrase d’intention sur un papier : « Aujourd’hui, je passe à l’action juste. »","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
"3","toutes","rituel","1","indifferent","indifferent","direct_doux","Ferme les yeux, inspire 4, expire 6, trois fois : « Je marche en confiance. »","21","1.0","True","{""initiative"",""élan"",""décision""}","fr","1"
